id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16234257,Private and cosy room close to public transoport,106104854,Zoran,,Dublin City,53.36903,-6.29835,Private room,45,7,0,,,1,0,0,
16243310,Double ensuite room 2 mins M50 Parking,103267316,Mary,,South Dublin,53.30677,-6.31735,Private room,53,1,79,2019-09-09,1.18,2,3,0,
16250821,Modern Apartment in Central Location,16574663,Joseph,,Dublin City,53.33923,-6.2267,Entire home/apt,75,7,20,2020-09-28,0.31,1,0,0,
16251566,Stay in August- Luxury Home in Excellent Location,14434383,Laura,,Dublin City,53.32724,-6.25009,Entire home/apt,354,5,1,2021-12-28,0.18,1,189,1,
16255825,3 Bed Apartment Ballsbridge,105835327,Paudie,,Dublin City,53.32513,-6.21923,Entire home/apt,150,2,3,2017-04-16,0.05,2,0,0,
16255930,Double room 10 minutes from Temple Bar,21399134,Stefano,,Dublin City,53.34949,-6.26913,Private room,50,2,10,2018-01-02,0.15,1,0,0,
16257025,Small but Perfectly Formed,88104711,Tony,,Dublin City,53.37371,-6.26059,Private room,26,20,33,2020-04-05,0.51,1,0,0,
16263733,Double bedroom next to Phoenix park,42059994,Nastasia,,Dublin City,53.3443,-6.32933,Private room,39,1,0,,,2,0,0,
16265916,Rustic style home of easy-going Chef & Musician.,106370660,Kateann,,Dublin City,53.342,-6.24224,Entire home/apt,173,2,35,2019-08-20,0.53,1,0,0,
16270951,Charming Abode Next to Dublin Castle - City Centre,106410457,Aine,,Dublin City,53.34281,-6.26875,Entire home/apt,160,2,94,2018-08-09,1.43,1,0,0,
16272999,Double room Ballsbridge,105835327,Paudie,,Dublin City,53.32327,-6.21901,Private room,50,200,41,2018-01-24,0.61,2,0,0,
16278330,Cosy 1 bedroom apt in the City Center,5460752,Agathe,,Dublin City,53.3391,-6.27345,Entire home/apt,115,3,2,2018-09-25,0.03,1,0,0,
16293277,Cosy Private Room with Double Bed in City Centre,62720055,Jordan,,Dublin City,53.34122,-6.2364,Private room,85,3,4,2017-05-28,0.06,1,0,0,
16305942,Stylish 2 bedroom house walking distance to city,15795689,Melanie,,Dublin City,53.35782,-6.25021,Entire home/apt,150,2,4,2017-07-23,0.06,2,0,0,
16309843,Cosy Double Room - 10 mins to city,6476854,Therese,,Dublin City,53.34659,-6.34897,Private room,58,75,8,2020-12-31,0.12,8,200,0,
16331610,Get the Georgian vibes ;),106906487,Barbara,,Dublin City,53.33001,-6.2479,Shared room,45,1,0,,,1,0,0,
16331731,Delightful in Dun Laoghaire,44678878,Suzie,,Dn Laoghaire-Rathdown,53.28401,-6.14786,Entire home/apt,66,7,0,,,1,0,0,
16333637,Beach Cottage in Loughshinny,24621867,Irene,,Fingal,53.55258,-6.0846,Entire home/apt,130,2,35,2020-08-21,0.77,1,0,0,
16355072,Airbnb top rated.  Fab 2 bed in the city with WiFi,23658985,Philip & Fíona,,Dublin City,53.34779,-6.27938,Entire home/apt,150,28,153,2022-05-31,2.34,2,248,14,
16388667,Private double / twin room in city near Temple Bar,4936901,Cir,,Dublin City,53.33884,-6.27321,Private room,54,7,7,2020-02-01,0.19,2,0,0,
16391221,Sherrard Home,67165732,Sankalp,,Dublin City,53.35929,-6.26126,Shared room,22,5,0,,,1,0,0,
16401965,Modern 1 bed Apartment in Dublin 4.,106363212,Jon,,Dublin City,53.33638,-6.23163,Entire home/apt,100,3,0,,,1,0,0,
16403060,CITY CENTRE*GREAT LOCATION 2 BED APARTMENT***MONTHLY DISCOUNTS**RELIABLE WIFI AND KITCHEN,31284582,Paul,,Dublin City,53.35575,-6.25514,Entire home/apt,217,14,146,2022-05-21,2.22,48,160,5,
16412859,Exclusive Private Bedroom in City Centre.,70906176,Rodrigo,,Dublin City,53.35239,-6.25387,Private room,40,2,0,,,1,0,0,
16422467,Appartement idéalement situé dans le centre ville,8019160,Alex,,Dublin City,53.34117,-6.27786,Private room,75,2,23,2017-10-19,0.35,1,0,0,
16424953,Appartement Dublin close to City Center,15224698,Mayssa,,Dublin City,53.35576,-6.25064,Entire home/apt,65,4,11,2020-03-10,0.18,2,0,0,
16436472,Share room with in Smithfield,107775468,Elizabete,,Dublin City,53.35138,-6.27836,Shared room,33,1,0,,,1,0,0,
16436842,Cozy & Bright Apt (2 Beds) in the Heart of Dublin,73237766,109ParnellStr,,Dublin City,53.35329,-6.25595,Entire home/apt,99,1,47,2019-07-01,0.71,1,0,0,
16437324,3 Bedroom Penthouse Apartment,16417090,Shane,,Dublin City,53.34137,-6.22697,Entire home/apt,175,2,0,,,1,0,0,
16440545,Bright room in the heart of Dublin,99476500,Bee,,Dublin City,53.3302,-6.26585,Shared room,35,2,12,2019-09-08,0.31,1,0,0,
16447955,Room in cottage close to beach,695627,Karen,,Fingal,53.5795,-6.10826,Private room,30,1,78,2020-08-05,1.22,1,0,0,
16476531,Cozy Space | Close to Everything | Patio Garden,5429761,Bob,,Dublin City,53.33773,-6.27275,Private room,46,2,178,2020-03-13,2.80,4,0,0,
16486689,Flat near to city centre,66373817,Gaurav,,Dublin City,53.3478,-6.28041,Private room,40,1,1,2016-12-23,0.02,1,0,0,
16501354,Studio w/ Spacious En-Suite Bathroom - Rathgar D6,22801049,MyHolistay Dublin,,Dublin City,53.31586,-6.27255,Entire home/apt,129,4,109,2022-06-08,1.65,4,2,3,
16506904,Contemporary Dublin City Centre Apartment,2992834,Roisin,,Dublin City,53.34219,-6.27689,Entire home/apt,106,2,253,2022-05-24,3.88,2,5,43,
16532401,Flat for a couple - 15min from temple bar by bus,62367776,Gutto,,Dublin City,53.34147,-6.3337,Entire home/apt,63,2,0,,,1,0,0,
16539288,Modern Apartment In the City Centre,108827100,Pat,,Dublin City,53.34781,-6.26416,Entire home/apt,137,2,271,2022-06-05,4.21,2,21,62,
16555873,Beautiful and bright room in city centre,109012088,Maria,,Dublin City,53.34785,-6.2666,Private room,80,2,0,,,1,0,0,
16574449,Luxury city centre apartment 1,99725020,Brian,,Dublin City,53.35729,-6.26575,Entire home/apt,52,3,76,2018-06-10,1.17,12,0,0,
16578319,sigle bedroom suitable one person,109260116,Qiong,,South Dublin,53.34905,-6.44515,Private room,15,1,0,,,1,0,0,
